Ticker,Best_SMA,Best_Avg_Forward_50d,Signals
NVDA,165,0.15205941469779363,1833
AAPL,10,0.06067908718814749,1489
MSFT,160,0.05535167294469329,1896
AMZN,20,0.0568266034827315,1528
GOOGL,200,0.054820318452652186,1746
AVGO,185,0.07983554926952702,1893
GOOG,200,0.056179897104915805,1758
META,20,0.06287024110535834,1514
TSLA,125,0.14100703073671586,1371
BRK-B,175,0.02452350524565294,1823
