SMA_Period,PortfolioMeanReturn
165,0.0702349438556151
180,0.07017707386770458
170,0.07013730441961022
190,0.07012558335815056
175,0.0701022125281829
185,0.07007565072660252
195,0.07006213305127915
160,0.06999959643074628
200,0.06990175046065353
155,0.06973329575092993
145,0.06957337558435575
150,0.06953829428604291
140,0.069473700462685
130,0.06942885032396434
135,0.06940264061689813
125,0.06940117334852305
120,0.06920434247305667
115,0.06899074323724416
110,0.06861939082124449
105,0.06841020199202995
95,0.06830339813469664
100,0.06824854752236048
15,0.06806576436358795
20,0.06796403799713227
25,0.06784925706048564
75,0.0678447466441232
85,0.06764586421309524
90,0.06762839014093494
30,0.06756573484141998
10,0.0675611375765454
35,0.06753318990668648
80,0.06751380100781515
70,0.06736646808485468
40,0.06708876849511511
65,0.06702213885612615
50,0.06694647202693498
45,0.06689418125145619
60,0.06678950628039478
55,0.06666607931982635
